abaci	abacus
abetted	abet
abetting	abet
abhorred	abhor
abhorring	abhor
abscissae	abscissa
abutted	abut
abutting	abut
accompanied	accompany
acetified	acetify
acidified	acidify
acquitted	acquit
acquitting	acquit
acromia	acromion
addenda	addendum
addrest	address
adieux	adieu
admitted	admit
admitting	admit
aerified	aerify
airier	airy
airiest	airy
alae	ala
alkalies	alkali
allotted	allot
allotting	allot
alluvia	alluvium
alumnae	alumna
alumni	alumnus
amebae	ameba
amnestied	amnesty
amoebae	amoeba
amoebiases	amoebiasis
amplified	amplify
analyses	analysis
anamneses	anamnesis
anamorphoses	anamorphosis
angrier	angry
angriest	angry
annulled	annul
annulling	annul
antennae	antenna
anthraces	anthrax
antitheses	antithesis
apices	apex
apomixes	apomixis
apotheoses	apotheosis
appalling	appal
appendices	appendix
apsides	apsis
aquae	aqua
aquaria	aquarium
arboreta	arboretum
arcana	arcanum
archipelagoes	archipelago
arcked	arc
arcking	arc
are	be
argufied	argufy
arisen	arise
arose	arise
ashes	ash
asyndeta	asyndeton
ate	eat
atria	atrium
atrophied	atrophy
aurae	aura
aurorae	aurora
automata	automaton
averred	aver
averring	aver
avitaminoses	avitaminosis
awoke	awake
awoken	awake
axes	ax
axillae	axilla
babied	baby
bacchantes	bacchant
bacilli	bacillus
backbit	backbite
backbitten	backbite
backslid	backslide
backslidden	backslide
bade	bid
bagged	bag
baggier	baggy
baggiest	baggy
bagging	bag
balkier	balky
balkiest	balky
ballistae	ballista
ballyragged	ballyrag
ballyragging	ballyrag
balmier	balmy
balmiest	balmy
bambini	bambino
bandeaux	bandeau
bandied	bandy
bandier	bandy
bandiest	bandy
banditti	bandit
bani	ban
banned	ban
barmier	barmy
barmiest	barmy
barred	bar
barrelled	barrel
barrelling	barrel
bases	base
batted	bat
battier	batty
battiest	batty
bawdier	bawdy
bawdiest	bawdy
bayonetted	bayonet
bayonetting	bayonet
beastlier	beastly
beastliest	beastly
beatified	beatify
beautified	beautify
beaux	beau
became	become
bedded	bed
bedevilled	bedevil
bedevilling	bedevil
bedimmed	bedim
bedimming	bedim
beefier	beefy
beefiest	beefy
been	be
beeves	beef
befallen	befall
befell	befall
befitted	befit
befitting	befit
befogged	befog
befogging	befog
began	begin
begat	beget
begetting	beget
begged	beg
begot	beget
begotten	beget
begun	begin
beheld	behold
beholden	behold
belying	belie
benefitted	benefit
benefitting	benefit
berried	berry
besetting	beset
besought	beseech
bespoke	bespeak
bespoken	bespeak
bestirred	bestir
bestirring	bestir
betted	bet
betting	bet
bevelled	bevel
bevelling	bevel
biassed	bias
biassing	bias
bidden	bid
bigger	big
biggest	big
bimboes	bimbo
binned	bin
binning	bin
bitted	bit
bitten	bite
bittier	bitty
bittiest	bitty
bitting	bit
bivouacked	bivouac
blabbed	blab
blabbing	blab
blatted	blat
blatting	blat
blearier	bleary
bleariest	bleary
bled	bleed
blest	bless
blew	blow
blobbed	blob
blobbing	blob
bloodied	bloody
bloodier	bloody
bloodiest	bloody
blotted	blot
blotting	blot
blowier	blowy
blowiest	blowy
blown	blow
blubbed	blub
blubbing	blub
bluer	blue
bluest	blue
blurring	blur
bobbed	bob
bobbing	bob
bolivares	bolivar
bonier	bony
boniest	bony
bonitoes	bonito
bonnier	bonny
bonniest	bonny
bookshelves	bookshelf
bootlegged	bootleg
bootlegging	bootleg
bopped	bop
bopping	bop
boraces	borax
borne	bear
bought	buy
bouncier	bouncy
bounciest	bouncy
bragged	brag
brainchildren	brainchild
brainier	brainy
brainiest	brainy
branchiae	branchia
brassier	brassy
brassiest	brassy
bravadoes	bravado
bravoes	bravo
bred	breed
breezier	breezy
breeziest	breezy
brethren	brother
brimmed	brim
brinier	briny
briniest	briny
bronchi	bronchus
broodier	broody
broodiest	broody
brought	bring
browbeaten	browbeat
bubblier	bubbly
bubbliest	bubbly
budded	bud
buffaloes	buffalo
bugged	bug
buggier	buggy
buggiest	buggy
bugging	bug
built	build
bulkier	bulky
bulkiest	bulky
bullae	bulla
bulldogging	bulldog
bullied	bully
bullshitted	bullshit
bullshitting	bullshit
bullyragged	bullyrag
bullyragging	bullyrag
bummed	bum
bumming	bum
bumpier	bumpy
bumpiest	bumpy
bureaux	bureau
buried	bury
burlier	burly
burliest	burly
burnt	burn
burrier	burry
burriest	burry
bursae	bursa
bushelled	bushel
bushelling	bushel
bushier	bushy
bushiest	bushy
busied	busy
busier	busy
busiest	busy
busses	bus
bustier	busty
bustiest	busty
caballed	cabal
caballing	cabal
cacti	cactus
caddied	caddie
caddies	caddie
caddying	caddie
caeca	caecum
cagier	cagey
cagiest	cagey
calami	calamus
calces	calx
calcified	calcify
calculi	calculus
calicoes	calico
calli	callus
calves	calf
calyces	calyx
cambia	cambium
came	come
camerae	camera
canalled	canal
canalling	canal
cancelled	cancel
cancelling	cancel
candied	candy
cannier	canny
canniest	canny
canning	can
canopied	canopy
capita	caput
capitula	capitulum
capped	cap
capping	cap
carcinomata	carcinoma
cargoes	cargo
carinae	carina
caroli	carolus
carolled	carol
carolling	carol
carpi	carpus
carried	carry
caryopses	caryopsis
caryopsides	caryopsis
catalyses	catalysis
catchier	catchy
catchiest	catchy
catfishes	catfish
catnapped	catnap
catnapping	catnap
catted	cat
cattier	catty
cattiest	catty
catting	cat
caught	catch
cavilled	cavil
cavilling	cavil
ceca	cecum
centra	centrum
cerebella	cerebellum
cerebra	cerebrum
certified	certify
cervices	cervix
channelled	channel
channelling	channel
chapeaux	chapeau
chapped	chap
chapping	chap
charred	char
charring	char
chatted	chat
chattier	chatty
chattiest	chatty
chatting	chat
cheekier	cheeky
cheekiest	cheeky
cheerier	cheery
cheeriest	cheery
cheesier	cheesy
cheesiest	cheesy
chelae	chela
cherubim	cherub
chestier	chesty
chestiest	chesty
chevied	chivy
chevies	chivy
chevying	chivy
chewier	chewy
chewiest	chewy
chid	chide
chidden	chide
children	child
chillier	chilly
chillies	chilli
chilliest	chilly
chinned	chin
chinning	chin
chintzier	chintzy
chintziest	chintzy
chipped	chip
chiselled	chisel
chiselling	chisel
chitchatted	chitchat
chitchatting	chitchat
chivied	chivy
chivvied	chivy
chivvies	chivy
chivvying	chivy
chopped	chop
choppier	choppy
choppiest	choppy
chopping	chop
chose	choose
choux	chou
chrysalides	chrysalis
chubbier	chubby
chubbiest	chubby
chummed	chum
chummier	chummy
chummiest	chummy
chumming	chum
chunkier	chunky
chunkiest	chunky
cicadae	cicada
cicale	cicala
cicatrices	cicatrix
cilia	cilium
cirri	cirrus
cladding	clad
clammed	clam
clammier	clammy
clammiest	clammy
clamming	clam
clapped	clap
clarified	clarify
classier	classy
classiest	classy
clipped	clip
cloacae	cloaca
clogged	clog
clotted	clot
cloudier	cloudy
cloudiest	cloudy
cloven	cleave
clubbed	club
clubbier	clubby
clubbiest	clubby
clubbing	club
clumsier	clumsy
clumsiest	clumsy
clung	cling
coccyges	coccyx
cockier	cocky
cockiest	cocky
codded	cod
codding	cod
codified	codify
cognomina	cognomen
coiffed	coif
coiffing	coif
collied	colly
collier	colly
colliest	colly
colones	colon
colossi	colossus
comae	coma
combatted	combat
combatting	combat
comelier	comely
